Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
fin.pictures,available,54,30%,3,Finance,,,
abient.pictures,available,54,1%,6,Science,,,
deserted.pictures,available,54,3%,8,"Hospitality,Real Estate",,,
adpressed.pictures,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
monitory.pictures,available,54,3%,8,"Business,Education,Healthcare",,,
ternion.pictures,available,54,3%,7,Mathematics,,,
topnotch.pictures,available,54,18%,8,Business,,,
abhorrent.pictures,available,54,1%,9,Humanities,,,
adductive.pictures,available,54,0%,9,"Engineering,Mathematics,Science",,,
adducent.pictures,available,54,1%,8,"Engineering,Mathematics,Science",,,
admonitory.pictures,available,54,0%,10,"Business,Education,Healthcare",,,
twoscore.pictures,available,54,2%,8,Mathematics,,,
quaternity.pictures,available,54,4%,10,Mathematics,,,
sise.pictures,available,54,5%,4,Mathematics,,,
abatable.pictures,available,54,1%,8,Law,,,
adjuratory.pictures,available,54,0%,10,"Law,Politics,Religion",,,
quadruplet.pictures,available,54,1%,10,"Healthcare,Medicine,Science",,,
achy.pictures,available,54,3%,4,Healthcare,,,
quaternion.pictures,available,54,6%,10,Mathematics,,,
acoustical.pictures,available,54,4%,10,Science,,,
abasic.pictures,available,54,1%,6,Science,,,
abducens.pictures,available,54,1%,8,Medicine,,,
aboral.pictures,available,54,2%,6,Science,,,
adaxial.pictures,available,54,2%,7,Science,,,
threescore.pictures,available,54,2%,10,Mathematics,,,
abaxial.pictures,available,54,1%,7,Science,,,
quatern.pictures,available,54,2%,7,Mathematics,,,
accentual.pictures,available,54,3%,9,"Arts,Entertainment",,,
achromatic.pictures,available,54,4%,10,Science,,,
quintuplet.pictures,available,54,1%,10,"Healthcare,Medicine,Science",,,
accursed.pictures,available,54,3%,8,"Entertainment,Media,Religion",,,
deuceace.pictures,available,54,1%,9,Sports,,,
viii.pictures,available,54,6%,4,Mathematics,,,
xxx.pictures,expiring,53,30%,3,"Arts,Entertainment,Media",13/09/2015 16:00,13/09/2025 16:00,1API GmbH
septet.pictures,available,53,1%,6,General,,,
sestet.pictures,available,53,1%,6,Arts,,,
lxiv.pictures,available,52,3%,4,Mathematics,,,
lxi.pictures,available,52,5%,3,Mathematics,,,
abominable.pictures,available,52,2%,10,"Entertainment,Humanities",,,
odious.pictures,available,52,2%,6,"Entertainment,Humanities",,,
sixtytwo.pictures,available,52,3%,9,Mathematics,,,
sixtysix.pictures,available,52,5%,9,Mathematics,,,
lxxxi.pictures,available,52,1%,5,Mathematics,,,
lxxii.pictures,available,52,1%,5,Mathematics,,,
detestable.pictures,available,52,1%,10,Humanities,,,
lxxvii.pictures,available,52,2%,6,Mathematics,,,
chagrined.pictures,available,52,1%,9,Humanities,,,
adenoidal.pictures,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
ninetysix.pictures,available,52,4%,10,Mathematics,,,
lxvi.pictures,available,52,3%,4,Mathematics,,,
abusive.pictures,available,52,3%,7,"Healthcare,Law",,,
ixc.pictures,available,52,5%,3,Mathematics,,,
uphill.pictures,available,52,7%,6,"Sports,Transportation,Travel",,,
xci.pictures,available,52,4%,3,Mathematics,,,
sixtyfour.pictures,available,52,4%,10,Mathematics,,,
ixl.pictures,available,52,9%,3,Mathematics,,,
xcii.pictures,available,52,2%,4,Mathematics,,,
aboulic.pictures,available,52,1%,7,Medicine,,,
xciv.pictures,available,52,2%,4,Mathematics,,,
lxxxv.pictures,available,52,1%,5,Mathematics,,,
lxviii.pictures,available,52,2%,6,Mathematics,,,
abysmal.pictures,available,52,4%,7,"Arts,Entertainment,Media",,,
ablated.pictures,available,52,1%,7,Science,,,
tierce.pictures,available,52,3%,6,General,,,
abstruse.pictures,available,52,5%,8,"Humanities,Mathematics,Science",,,
lxxi.pictures,available,52,2%,4,Mathematics,,,
littlejoe.pictures,available,52,2%,10,"Entertainment,Media",,,
lxii.pictures,available,52,2%,4,Mathematics,,,
sixtyfive.pictures,available,52,3%,10,Mathematics,,,
lxxv.pictures,available,52,2%,4,Mathematics,,,
decumbent.pictures,available,52,1%,9,"Healthcare,Medicine,Science",,,
lxvii.pictures,available,52,1%,5,Mathematics,,,
xcvi.pictures,available,52,2%,4,Mathematics,,,
repugnant.pictures,available,52,1%,9,Humanities,,,
lxxxvii.pictures,available,52,1%,7,Mathematics,,,
lxxxiii.pictures,available,52,1%,7,Mathematics,,,
lxxiii.pictures,available,52,2%,6,Mathematics,,,
lxxvi.pictures,available,52,1%,5,Mathematics,,,
lxxiv.pictures,available,52,1%,5,Mathematics,,,
xciii.pictures,available,52,1%,5,Mathematics,,,
lxiii.pictures,available,52,2%,5,Mathematics,,,
eightytwo.pictures,available,52,4%,10,Mathematics,,,
eightyone.pictures,available,52,3%,10,Mathematics,,,
ninetytwo.pictures,available,52,4%,10,Mathematics,,,
xcvii.pictures,available,52,1%,5,Mathematics,,,
lxv.pictures,available,52,5%,3,Mathematics,,,
xcv.pictures,available,52,7%,3,Mathematics,,,
lxxxvi.pictures,available,52,1%,6,Mathematics,,,
xcviii.pictures,available,52,1%,6,Mathematics,,,
repulsive.pictures,available,52,1%,9,Humanities,,,
lxxxii.pictures,available,52,1%,6,Mathematics,,,
ninetyone.pictures,available,52,5%,10,Mathematics,,,
lxxxiv.pictures,available,52,1%,6,Mathematics,,,
adactylous.pictures,available,50,0%,10,Science,,,
scummy.pictures,available,50,1%,6,Humanities,,,
quint.pictures,available,50,13%,5,"Arts,Entertainment",,,
acellular.pictures,available,50,1%,9,Science,,,
aculeated.pictures,available,50,0%,9,"Engineering,Medicine,Science",,,
abomasal.pictures,available,50,0%,8,Agriculture,,,
adhominem.pictures,available,50,2%,10,"Humanities,Law,Politics",,,
abbatial.pictures,available,50,0%,8,Religion,,,
abducting.pictures,available,50,0%,9,Medicine,,,
aborticide.pictures,available,50,0%,10,Medicine,,,
acaudal.pictures,available,50,1%,7,"Agriculture,Science",,,
acapnic.pictures,available,50,0%,7,"Healthcare,Medicine,Science",,,
acetose.pictures,available,50,1%,7,Science,,,
cinque.pictures,available,50,7%,6,Mathematics,,,
needlelike.pictures,available,50,0%,10,"Engineering,Medicine,Science",,,
triplet.pictures,available,50,8%,7,Science,,,
trine.pictures,available,50,11%,5,"General,Religion",,,
spinous.pictures,available,50,1%,7,"Agriculture,Science",,,
vinegary.pictures,available,50,1%,8,Food and Beverage,,,
acerose.pictures,available,50,1%,7,Science,,,
acapnotic.pictures,available,50,0%,9,"Healthcare,Medicine,Science",,,
broached.pictures,available,50,0%,8,Food and Beverage,,,
acquitted.pictures,available,50,1%,9,Law,,,
abactinal.pictures,available,50,0%,9,Science,,,
acetous.pictures,available,50,1%,7,Science,,,
acerb.pictures,available,50,2%,5,Science,,,
ogdoad.pictures,available,50,1%,6,Mathematics,,,
gillless.pictures,available,50,0%,9,Science,,,
abdicable.pictures,available,50,0%,9,Law,,,
abranchial.pictures,available,50,0%,10,Science,,,
lxx.pictures,available,50,5%,3,Mathematics,,,
acerbic.pictures,available,50,2%,7,"Arts,Humanities,Media",,,
notguilty.pictures,available,48,5%,10,Law,,,
abstracted.pictures,available,48,5%,10,"Arts,Humanities,Science",,,
ilxxx.pictures,available,48,1%,5,Mathematics,,,
lxxxviii.pictures,available,48,1%,8,Mathematics,,,
apriori.pictures,available,48,13%,8,Mathematics,,,
execrable.pictures,available,48,0%,9,"Entertainment,Humanities",,,
abyssal.pictures,available,48,12%,7,"Arts,Entertainment,Media",,,
ilxx.pictures,available,48,1%,4,Mathematics,,,
acetylic.pictures,available,46,1%,8,Science,,,
acetabular.pictures,available,46,1%,10,Science,,,
acetonic.pictures,available,46,1%,8,Science,,,
acheronian.pictures,available,46,1%,10,Humanities,,,
acephalous.pictures,available,46,1%,10,Science,,,
achenial.pictures,available,46,1%,8,Science,,,
acaudate.pictures,available,46,1%,8,"Agriculture,Science",,,
stemless.pictures,available,46,2%,8,"Agriculture,Science",,,
acanthous.pictures,available,46,0%,9,"Agriculture,Science",,,
acarpelous.pictures,available,46,0%,10,"Agriculture,Science",,,
achromous.pictures,available,46,1%,9,Science,,,
theabsurd.pictures,available,46,1%,10,"Arts,Entertainment,Media",,,
acanthotic.pictures,available,46,0%,10,"Agriculture,Science",,,
cotyloid.pictures,available,46,1%,8,Science,,,
stripling.pictures,available,46,2%,9,"Education,Entertainment,Healthcare",,,
acarpous.pictures,available,46,0%,8,"Agriculture,Science",,,
acicular.pictures,available,46,2%,8,Science,,,
quaternary.pictures,available,46,3%,10,Mathematics,,,
acetylenic.pictures,available,46,1%,10,Science,,,
acanthoid.pictures,available,46,1%,9,"Agriculture,Science",,,
vinegarish.pictures,available,46,1%,10,Food and Beverage,,,
acapnial.pictures,available,46,0%,8,"Healthcare,Medicine,Science",,,
achromic.pictures,available,46,2%,8,Science,,,
accusatory.pictures,available,44,1%,10,Law,,,
cotyloidal.pictures,available,44,1%,10,Science,,,
acherontic.pictures,available,44,1%,10,Humanities,,,
abscessed.pictures,available,41,0%,9,Healthcare,,,
accusive.pictures,available,40,1%,8,Law,,,
accurst.pictures,available,40,1%,7,Religion,,,
scurrilous.pictures,available,40,1%,10,"Entertainment,Media,Politics",,,
